,urls,pageviews,users,new_users,returning_users,clean_url
372,https://news/india/do-not-let-the-babu-concept-influence-you-pm-tells-civil-service-probationers-11604129568727.html,4,4,2,2,https://news/india/do-not-let-the-babu-concept-influence-you-pm-tells-civil-service-probationers
373,https://news/india/good-samaritan-govt-notifies-laws-to-protect-people-who-help-accident-victims-11601539127768.html,4,3,3,0,https://news/india/good-samaritan-govt-notifies-laws-to-protect-people-who-help-accident-victims
374,https://news/india/hiring-activities-in-hospitality-travel-industry-improve-in-october-naukri-com/amp-11605100436589.html,4,3,2,1,https://news/india/hiring-activities-in-hospitality-travel-industry-improve-in-october-naukri-com/amp
375,https://news/india/india-receives-single-largest-infra-loan-from-kfw-for-mumbai-metro/amp-11604662719908.html,4,4,0,4,https://news/india/india-receives-single-largest-infra-loan-from-kfw-for-mumbai-metro/amp
376,https://news/india/indigo-completes-replacing-pw-engines-powering-its-a320-neo-fleet/amp-11598610472852.html,4,3,1,2,https://news/india/indigo-completes-replacing-pw-engines-powering-its-a320-neo-fleet/amp
377,https://news/india/lockdown-in-tamil-nadu-extended-till-30-sept-but-with-most-restrictions-eased-11598798929030.html,4,3,2,1,https://news/india/lockdown-in-tamil-nadu-extended-till-30-sept-but-with-most-restrictions-eased
378,https://news/india/neet-to-be-held-tomorrow-for-over-15-lakh-candidates-amid-strict-covid-19-precautions-11599913386533.html,4,3,0,3,https://news/india/neet-to-be-held-tomorrow-for-over-15-lakh-candidates-amid-strict-covid-19-precautions
379,https://news/india/pm-modi-to-inaugurate-vaibhav-summit-today-11601608030018.html,4,3,3,0,https://news/india/pm-modi-to-inaugurate-vaibhav-summit-today
380,https://news/india/sbi-to-recruit-2000-probationary-officers-po-check-eligibility-and-other-details-here/amp-11605410033248.html?__twitter_impression=true,4,4,3,1,https://news/india/sbi-to-recruit-2000-probationary-officers-po-check-eligibility-and-other-details-here/amp-11605410033248.html?__twitter_impression=true
381,https://news/india/the-growing-clamour-for-an-urban-jobs-scheme-11601903485203.html,4,4,0,4,https://news/india/the-growing-clamour-for-an-urban-jobs-scheme
382,https://news/india/when-democracy-fails-the-poor-11602040759209.html,4,2,1,1,https://news/india/when-democracy-fails-the-poor
383,https://news/world/china-set-to-start-trial-of-nasal-spray-covid-19-vaccine-11604902461202.html,4,3,2,1,https://news/world/china-set-to-start-trial-of-nasal-spray-covid-19-vaccine
384,https://news/world/russia-resumes-covid-19-vaccine-trial-after-pause/amp-11605779723408.html?__twitter_impression=true,4,4,2,2,https://news/world/russia-resumes-covid-19-vaccine-trial-after-pause/amp-11605779723408.html?__twitter_impression=true
385,https://opinion/columns/opinion-economic-geography-central-to-india-s-regional-inequality-woes/amp-1556647599599.html,4,2,2,0,opinion/columns/opinion-economic-geography-central-to-india-s-regional-inequality-woes/amp-1556647599599.html
386,https://opinion/online-views/opinion-how-can-india-become-an-agricultural-powerhouse-post-coronavirus/amp-11591508334787.html,4,3,2,1,https://opinion/online-views/opinion-how-can-india-become-an-agricultural-powerhouse-post-coronavirus/amp
